item,pc,npc,coord,categoria
Real Unique Characters,Majority Vote,Majority Vote,Varies,Real Unique Characters
Canonical Unique Characters,Majority Vote,Majority Vote,Varies,Canonical Unique Characters
All characters published by White Wolf,Majority Vote,Majority Vote,Varies,Canonical Unique Characters
This does not apply to Incarna Spirits which are regulated further in character bylaw 10.F.i.8,Majority Vote,Majority Vote,Varies,Canonical Unique Characters
Characters with backstories involving Coordinator or Canon NPCs,Coordinator Approval,Coordinator Approval,Varies; Coordinator(s) that controls the canonical NPC,Characters with backstories involving Coordinator or Canon NPCs
Character Resurrection,Majority Vote,Coordinator Notify,Varies.,Character Resurrection
True Faith 1-5,Coordinator Notify,Unregulated,Hunter,True Faith 1-5
True Faith 6+,Majority Vote,Coordinator Notify,Hunter,True Faith 6+
Supernaturals with Hedge Magic/Numina,Coordinator Approval NPC: Coordinator Approval Coordinator: Varies; appropriate genre Coordinator(s),,,Supernaturals with Hedge Magic/Numina
"Anarch 4+, Non-Anarch",Coordinator Approval,Coodinator Approval,Anarch,"Anarch 4+, Non-Anarch"
"Ashira, Non-Ashira",Coordinator Approval,Coordinator Approval,Camarilla,"Ashira, Non-Ashira"
"Inconnu, Non-Inconnu",Coordinator Approval,Coordinator Approval,Camarilla,"Inconnu, Non-Inconnu"
Lore Fomorians 1 & 2,Coordinator Notify,Unregulated,Changeling,Fomorians 1 & 2
Lore Fomorians 3+,Coordinator Approval,Coordinator Approval,Changeling,Fomorians 3+
"Wyld Lore 5+, non-Beast Court",Coordinator Approval,Unregulated,Changing Breeds,"Wyld Lore 5+, non-Beast Court"
"Wyrm Lore 5+, non-Beast Court",Coordinator Approval,Unregulated,Changing Breeds,"Wyrm Lore 5+, non-Beast Court"
"Weaver Lore 5+, non-Beast Court",Coordinator Approval,Unregulated,Changing Breeds,"Weaver Lore 5+, non-Beast Court"
"Fallen 4+, Non-Fallen",Coordinator Approval,Coordinator Approval,Demon,"Fallen 4+, Non-Fallen"
"Fallen 4+, Demon the Fallen",Coordinator Approval,Coordinator Approval,Demon,"Fallen 4+, Demon the Fallen"
"Wyld Lore 5+, Beast Court",Coordinator Approval,Unregulated,Hengeyokai,"Wyld Lore 5+, Beast Court"
"Wyrm Lore 5+, Beast Court",Coordinator Approval,Unregulated,Hengeyokai,"Wyrm Lore 5+, Beast Court"
"Weaver Lore 5+, Beast Court",Coordinator Approval,Unregulated,Hengeyokai,"Weaver Lore 5+, Beast Court"
Lore Imbued Hunter,Disallowed,Disallowed,Hunter,Imbued Hunter
"Kuei-Jin 4+, Non Kuei-Jin PC",Coordinator Approval,Coordinator Approval,Kuei Jin,"Kuei-Jin 4+, Non Kuei-Jin PC"
